20131113 174432.838 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         
20131113 174433.212 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     testConnect: > key=Disc
20131113 174433.212 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   testConnect: >key=Disc response=null excep=null
20131113 174433.212 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: wait for 59,995 ms for new work or for space in the inflight window
20131113 174433.212 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             testConnect: state=DISCONNECTING
20131113 174433.212 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           testConnect: stopping
20131113 174433.212 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           testConnect: notify workAvailable and wait for run
20131113 174433.213 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            testConnect: notify spaceAvailable
20131113 174433.213 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           testConnect: stopped
20131113 174433.213 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           testConnect: stopping
20131113 174433.213 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            testConnect: Stopping due to IOException
20131113 174433.213 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            testConnect: <
20131113 174433.213 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           testConnect: stopped
20131113 174433.213 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          quiesce                        testConnect: resp=Client is currently disconnecting (32102)
20131113 174433.213 org.eclipse.paho.client.mqttv3.internal.ClientComms              handleOldTokens                testConnect: >
20131113 174433.214 org.eclipse.paho.client.mqttv3.internal.ClientState              resolveOldTokens               testConnect: reason null
20131113 174433.214 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingTokens           testConnect: >
20131113 174433.214 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    testConnect: key=Disc
20131113 174433.214 org.eclipse.paho.client.mqttv3.internal.ClientState              disconnected                   testConnect: disconnected
20131113 174433.214 org.eclipse.paho.client.mqttv3.internal.ClientState              clearState                     testConnect: >
20131113 174433.214 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          testConnect: > 0 tokens
20131113 174433.214 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           testConnect: stopping sender
20131113 174433.214 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                testConnect: notifying queueLock holders
20131113 174433.214 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: no outstanding flows and not connected
20131113 174433.215 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            testConnect: get message returned null, stopping}
20131113 174433.215 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            testConnect: <
20131113 174433.215 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           testConnect: stopped
20131113 174433.217 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             testConnect: state=DISCONNECTED
20131113 174433.217 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           testConnect: callback and notify for key=Disc
20131113 174433.217 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 testConnect: >key=Disc response=null excep=null
20131113 174433.218 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: key=Disc response=null
20131113 174433.218 org.eclipse.paho.client.mqttv3.test.BasicTest                    testConnect                    Close...
20131113 174433.218 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   close                          testConnect: <
20131113 174433.218 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          testConnect: > 0 tokens
20131113 174433.218 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   close                          testConnect: >
20131113 174433.219 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         
20131113 174433.219 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         *************************************************************
20131113 174433.219 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         * BasicTest.testHAConnect
20131113 174433.219 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         *************************************************************
20131113 174433.220 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   MqttAsyncClient                testHAConnect: <init> ClientID=testHAConnect ServerURI=tcp://junk:123 PersistenceType=org.eclipse.paho.client.mqttv3.persist.MqttDefaultFilePersistence@48acb798
20131113 174433.221 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          <Init>                         testHAConnect: <>
20131113 174433.221 org.eclipse.paho.client.mqttv3.internal.ClientState              <Init>                         testHAConnect: 
20131113 174433.221 org.eclipse.paho.client.mqttv3.internal.ClientState              restoreState                   testHAConnect: >
20131113 174433.224 org.eclipse.paho.client.mqttv3.test.BasicTest                    testHAConnect                  Connecting...
20131113 174433.224 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   connect                        testHAConnect: cleanSession=true connectionTimeout=30 TimekeepAlive=60 userName=null password=[null] will=[null] userContext=null callback=null
20131113 174433.224 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModules           testHAConnect: URI=tcp://junk:123
20131113 174433.224 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModule            testHAConnect: URI=tcp://junk
20131113 174433.224 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModule            testHAConnect: URI=tcp://m2m.eclipse.org:1883
20131113 174433.225 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModules           testHAConnect: <
20131113 174433.226 org.eclipse.paho.client.mqttv3.internal.ClientComms              connect                        testHAConnect: state=CONNECTING
20131113 174433.226 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          open                           testHAConnect: >
20131113 174433.227 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              testHAConnect: key=null wait max=-1 token=key=null ,topics= ,usercontext=org.eclipse.paho.client.mqttv3.MqttAsyncClient@ed07f45 ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=org.eclipse.paho.client.mqttv3.internal.ConnectActionListener@1a53929c
20131113 174433.227 org.eclipse.paho.client.mqttv3.internal.ClientComms              connectBG:run                  testHAConnect: >
20131113 174433.227 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingDelTokens        testHAConnect: >
20131113 174433.227 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testHAConnect: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=org.eclipse.paho.client.mqttv3.MqttAsyncClient@ed07f45 ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=org.eclipse.paho.client.mqttv3.internal.ConnectActionListener@1a53929c
20131113 174433.227 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testHAConnect: key=Con message=CONNECT clientId testHAConnect keepAliveInterval 60
20131113 174433.227 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testHAConnect: key=null wait max=-1
